Year,Brand,Campaign,Star Date,End Date,TA,Publisher,Reach Fre.,cost,Universe(000),tauv,Market,index,reach,split,IMP Actual
2019,Extra,Extra Y19 BPI P10 In Car,2019/9/23,2019/10/20,Driver,Tencent,1+,360000.0,382933.0,20806816.0,national,180,0.05433539548693897,BPI,
2019,Extra,Extra Y19 BPI P10 In Car,2019/9/23,2019/10/20,Driver,Tencent,1+,635544.0,382933.0,18958061.0,national,181,0.04950751436935443,BPI,
2019,Extra,Extra Y19 BPI P10 In Car,2019/9/23,2019/10/20,Driver,Youku,1+,198750.0,382933.0,25178613.0,national,182,0.06575200622563215,BPI,
2019,Extra,Extra Y19 BPI P4 In Car,2020/3/27,2020/4/26,Driver,加油广东APP,1+,324000.0,382933.0,2500000.0,national,184,0.006528557214969721,BPI,
2019,Extra,Extra Y19 BPI P4 In Car,2020/3/27,2020/4/26,Driver,加油广东APP,1+,189000.0,382933.0,2500000.0,national,185,0.006528557214969721,BPI,
2019,Extra,Extra Y19 BPI P4 In Car,2020/3/27,2020/4/26,Driver,微信公众号,1+,430400.0,382933.0,3700000.0,national,186,0.009662264678155187,BPI,
2019,Extra,Extra Y19 BPI P4 In Car,2020/3/27,2020/4/26,Driver,微信支付,1+,95400.0,382933.0,1388889.0,national,187,0.003626976520696832,BPI,
2019,Extra,Extra Y19 BPI P8 Music,2019/6/15,2019/9/6,P13-35,iQiyi,1+,11800000.0,407424.0,231000246.0,national,189,0.5669775123704053,BPI,
2019,Extra,Extra Y19 BPI P8 Music,2019/6/15,2019/9/6,P13-35,iQiyi,1+,6250000.0,407424.0,88991881.0,national,190,0.21842572111608546,BPI,
2019,Extra,Extra Y19 BPI P8 Music,2019/6/15,2019/9/6,P13-35,iQiyi,1+,200000.0,407424.0,71512430.0,national,191,0.17552336141218977,BPI,
2020,Extra,Extra Y20 P1P2 CNY Campaign,2019/12/29,2020/1/29,P13-35,OOH,-1,473008.0,-1.0,-1.0,national,193,0.001,BPI,
